id,resourceType,title,description,startDate,endDate,Month,Year,Area/Region,Location,State 1,State 2-?,reference/s,EM-DAT?,Report,Journals,Databases,Websites,Newspaper,Missing data,Evacuated,Affected,Homeless,Injuries,Deaths,Insured Cost,Reported cost,Calls to SES,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Roads,Ports,Environmental,Male death,Female death,Children,Adults,Elderly,url,References,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
303,Cyclone,Cyclone Ada,"On 17 January 1970, Tropical Cyclone Ada moved through the Whitsunday Island group. Day Dream Island was the worst affected with its resort destroyed. On Hayman Island 75 per cent of buildings were destroyed. Heavy rains and flooding brought havoc and dislocation of traffic and communications in the coastal strip between Bowen and Mackay. Shute Harbor, Airlie Beach and Cannonvale received damage of up to 80 per cent&nbsp;of buildings.  Fourteen people died as a result of the category four cyclone.  The damage whichÊAdaÊwrought hs been conservatively estimated at $12 million (1970 dollars) and the cyclone was responsible for the loss of thirteen lives. The brunt of the cyclone's fury was borne by Hayman, Daydream, Long, South Molle and Hook Islands, and the area from Airlie Beach to Cannonvale, Proserpine, Calen and Shute Harbour. Heavy rains and flooding brought havoc and dislocation of traffic and communications in the coastal strip between Bowen and MackayThe Insurance Council of Australia estimated the 1970 damage at $12 million, with the 2012 estimated normalised cost of $1001 million.",17/01/1970,19/01/1970,January,1970,Whitsundays and Airlie Beach,Queensland,Queensland,,EM-Track; wiki; EM-DAT; ICA; PDF - BoM; http://www.bom.gov.au/cyclone/history/ada.shtml,17,1,0,2,2,0,2,,4000,200,100,15,,12000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=303,EM-Track,wiki,9,15,23,28,39,,,,,,,EM-DAT,ICA,PDF - BoM
,Flood,Flooding,"On 24th, record flooding occurred in theÊMerseyÊandÊMeanderÊrivers, with extensive damage at Deloraine. One fatality was recorded and damage estimated in excess of $5m. Serious flooding also occurred on the OuseÊandÊHuonÊrivers",24/08/1970,24/08/1970,August,1970,Deloraine - Latrobe Region,Tasmania,Tasmania,,http://www.bom.gov.au/tas/flood/flood_history/flood_history.shtml; PDF - newspaper,,0,0,0,1,1,2,1500,,70,5,1,,5000000,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,http://www.bom.gov.au/tas/flood/flood_history/flood_history.shtml,,66,,,,,,,,,,,,,
,Severe Storm,Severe storms and flash floods,,7/12/1970,10/12/1970,January,1970,,New South Wales; Victoria,New South Wales,Victoria,Requested report from BoM,,,,,,,2,,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cyclone,Cyclone Dora,Tropical CycloneÊDoraÊcrossed the coast north of Brisbane. There was fairly widespread structural damage at Redcliffe the worst case being a roof removed from a block of home units. Trees and powerlines were down. Some flooding caused traffic disabilities.,10/02/1971,17/02/1971,February,1971,Dora: Redcliffe and South Coast QLD,Queensland,Queensland,,wiki; http://www.bom.gov.au/cyclone/history/dora.shtml; PDF - newspaper,,0,0,0,2,2,2,,,,,,,1000000,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,wiki,http://www.bom.gov.au/cyclone/history/dora.shtml,5,55,,,,,,,,,,,,
128,Cyclone,Cyclone Althea,"On 24 December 1971, Tropical Cyclone Althea swept across Townsville resulting in three deaths. On Magnetic Island 90 per cent of the houses were damaged or destroyed. Two tornadoes damaged trees and houses at Bowen. There was major flooding in Burdekin, resulting in a storm surge measuring 2.9 m in the Townsville Harbour ,and a 3.66 m storm surge north at Toolakea. Although the Toolakea storm surge occurred at low tide, the surge and large waves caused extensive damage along the Strand and at Cape Pallarenda.  The Insurance Council of Australia estimated the 1971 damage at $25 million, with the 2012 estimated normalised cost of $648 million.",24/12/1971,27/12/1971,December,1971,Townsville,Queensland,Queensland,,EM-Track; EM-DAT; ICA; wiki; PDF - newspaper; http://www.bom.gov.au/cyclone/history/althea.shtml - many differing costs,11,0,0,1,2,7,,,20000,800,30,3,25000000,50000000,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=128,EM-Track,EM-DAT,9,17,22,28,45,,,,,,,ICA,wiki,PDF - newspaper
254,Flood,Flood or storm? ,"On 26 January 1971 widespread flooding occurred in Woden Valley, south-east of Canberra, as a result of a super cell thunderstorm. Rainfall started at approximately 7.30 - 7.50 pm and up to 100 mm was recorded in one hour by private rain gauges in the suburb of Farrer and Torrens.  The rain waters filled the creek that ran beside the Woden Valley freeway, and as debris blocked the valley, the backup of water sent a flash flood onto the freeway. The 200 m wide, 1.5 m deep torrent engulfed more than a dozen cars, and caused the deaths of seven people aged between six and 20. A subsequent Coroner's Report found the deaths to be accidental drowning, and the Department of Interior found that approximately $120,000 of public/government owned property was damaged.  The Bureau of Meteorology estimated the total damage bill at $9 million.",26/01/1971,26/01/1971,January,1971,Woden Valley,Australian Capital Territory,Australian Capital Territory,,wiki; EM-Track; if we need it - http://trove.nla.gov.au/work/26328072?q=woden+flood&c=book&versionId=44830150 - Storm or flood?,,?,0,1,1,0,2,,500,,15,7,,9000000,,,,,,,,,,,,60,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=254,wiki,EM-Track,5,15,,,,,,,,,,,,
,Flood,,SAME EVENT??,10/02/1971,20/02/1971,February,1971,Gippsland,Victoria,Victoria,,wiki; ICA; PDF - newspaper,,0,0,1,1,1,,,1000,500,5,,2000000,12000000,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,wiki,ICA,5,10,,,,,,,,,,,,
,Flood,,SAME EVENT?? AND QLD?,12/02/1971,22/02/1971,February,1971,Northern NSW incl. Broken Hill,New South Wales,New South Wales,,"wiki, PDF - newspaper; EM-DAT - reports 27 deaths",24,0,0,1,1,9,2,,,,,3,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wiki, PDF - newspaper",,22,,,,,,,,,,,,,
451,Severe Storm,Tornado,"On 14 August 1971 at Kin Kin, a small area between Noosa and Gympie north of Brisbane, a tornado struck and killed three people and destroyed eight farmhouses and caused considerable damage to a part of the town. The storm descended on the valley 9.30pm on a Saturday night commencing with a hail storm with hail stones the size of cricket balls.",14/08/1971,14/08/1971,August,1971,Kin Kin,Queensland,Queensland,,EM-Track; Miller (2010),,0,1,1,0,0,2,,,,44,3,,100000,,,,,,33,24,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=451,EM-Track,,9,,,,,,,,,,,,,
,Severe Storm,Severe storm and hail,On the 21st of August a severe thunderstorm accompanied by hail and lightning hit sydney. This was an ususual storm as it lasted for a prolonged period of time (4 hours). Three men and two dogs were hit by lightning at Bondi and a circus elephant had to be rescued at Tempe when it fell into the river.,21/08/1971,21/08/1971,August,1971,Sydney,New South Wales,New South Wales,,"PDF - newspaper; Bahr, BoM (1973) ",,1,0,0,,,2,,,,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF - newspaper,,16,,,,,,,,,,,,,
222,Cyclone,Cyclone Emily,Tropical Cyclone Emily formed off the southern and central coasts of Queensland resulting in eight deaths (in three separate incidents).  Other damage recorded included flooding at Kingaroy and Brisbane.,27/03/1972,2/04/1972,April,1972,Emily ,Queensland,Queensland,,EM-Track; wiki; http://www.australiangeographic.com.au/journal/timeline-australias-worst-cyclones.htm *not sure if this is the same one stated on wiki page - Bundaberg (# of deaths is different); PDF newspaper,,0,0,1,2,2,2,12,,,,8,,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=222,EM-Track,wiki,9,15,195,,,,,,,,,http://www.australiangeographic.com.au/journal/timeline-australias-worst-cyclones.htm *not sure if this is the same one stated on wiki page - Bundaberg (# of deaths is different),,
,Cyclone,Cyclone Daisy,DaisyÊmade landfall on Fraser Island and the bar at Sandy Cape dropped to 968.8 hPa. Some 200 homes were damaged at Pialba and more houses were unroofed in widely scattered townships. Forestry officials reported serious damage to forests near Maryborough and on Fraser Island. Flooding occurred throughout southeast Queensland with severe floods in Brisbane creeks. There was much damage to commercial stock in Brisbane. On the Gold Coast the mouth of Tallebudgera Creek silted up causing severe flooding upstream to commercial and domestic properties. Peak swell heights to 8.3 m were read at the South Nobby wave recording station on the Gold Coast. Severe erosion occurred down to Brunswick Heads and on the western side of Fraser Island where a 3 m storm surge was reported,6/02/1972,11/02/1972,February,1972,Brisbane and Gold Coast,Queensland,Queensland,,ICA; harden-up,,,,,,,2,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICA,,4,,,,,,,,,,,,,
,Flood,Flash flood,"The most spectacular flood occurred in 1972 when in one hour, 78.5 mm of rain fell on the Central Business District and Elizabeth Street was turned into a fast flowing torrent, rising to an estimated height of nearly one and a half meters",17/02/1972,17/02/1972,February,1972,Melbourne,Victoria,Victoria,,wiki; PDF - newspapers; http://www.theage.com.au/articles/2003/09/01/1062383507154.html; http://www.tramway.org.au/reflections.php?p=melbourne_awash - cost estimated at $1mil,,,,,,,2,,,,,,,3000000,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,PDF - newspapers,5,23,88,,,,,,,,,http://www.theage.com.au/articles/2003/09/01/1062383507154.html,,
,Severe Storm,,,17/02/1972,17/02/1972,February,1972,Sydney,New South Wales,New South Wales,,wiki; PDF newspaper; cost seems to be an overestimation,,0,0,0,1,2,2,,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,PDF newspaper,5,20,,,,,,,,,,,,
,Cyclone,Severe tropical cyclone Kerry,"Cyclone ÒKerryÓ was important because it passed close to a number of oil drilling rigs, crossed the coast and then retained its intensity for a further 2 days while travelling well inland. Winds, seas and flooding all caused damage to various installations. The estimated damage caused by Cyclone ÒKerryÓ was close to $2 million and the loss of production and man-hours over $5 million.",19/01/1973,19/01/1973,January,1973,Northwest WA,Western Australia,Western Australia,,PDF - BoM; http://www.bom.gov.au/cyclone/history/kerry73.shtml,,1,0,0,1,0,2,,,,,1,,7000000,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,PDF - BoM,,10,,,,,,,,,,,,,
,Cyclone,Cyclone Una,"Una crossed the coast just to the east of Townsville and was rapidly intensifying at landfall. Wind damage was confined to trees and street signs at Ayr and Townsville. There were power failures at Ayr and Home Hill. A house was unroofed at Home Hill, power poles were down and Palm trees snapped off. Mango crops were ruined. Major Flooding occurred at Theresa Ck, and in the Pioneer, Dawson, Fitzroy and Burnett Rivers. Two adults and Two children were drowned in Floodwaters. The maximum storm surge was 0.8m.",15/12/1973,20/12/1973,December,1973,Townsville,Queensland,Queensland,,PDF - newspaper; http://hardenup.org/be-aware/weather-events/events/1970-1979/cyclone-una.aspx; Hopley (1973) *report requested* **number of deaths differ in newspaper and hardenup**,,0,1,0,1,1,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF - newspaper,http://hardenup.org/be-aware/weather-events/events/1970-1979/cyclone-una.aspx,16,95,,,,,,,,,,,,
,Cyclone,Cyclone Leah,,3/03/1973,11/03/1973,March,1973,Northern Australia,"Queensland; Northern Territory, Western Australia",Queensland,,ICA??? Flood below?,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Earthquake,,,9/03/1973,9/03/1973,March,1973,Picton,New South Wales,New South Wales,,wiki; Wales (1978),,0,1,0,1,0,2,,,,,,,2800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,,5,,,,,,,,,,,,,
334,Flood,"Flood - Queensland, Northern Territory and Western Australia","Tropical Cyclone Madge crossed the coast near Cooktown and brought about widespread rain, which resulted in subsequent flooding to neighbouring towns along the coast. Coinciding Tropical Cyclone Bella also brought about extensive rain towards the concluding in stages of March. The two cyclones affected rivers across the State of Queensland including the Herbert, Tully, Nicholson, Gregory, Georgina, Burke, Hamilton, Diamantina, Thomson and Cloncurry.  The Bruce Highway, connecting Cairns and Townsville, was inundated with water and was subsequently cut in six places. Furthermore there was also damage to buildings and houses along with reports of heavy crop and livestock losses.  The Insurance Council of Australia estimated the 1973 damage at $30 million, with the 2011 estimated normalised cost of $1492 million.  (Note this is a combined cost with Northern Territory, and Western Australia).",2/03/1973,30/03/1973,March,1973,"Queensland, Northern Territory and Western Australia",Queensland; Northern Territory; Western Australia,Queensland,Northern Territory; Western Australia,EM-Track; EM-DAT; ICA; both cyclones have no reported damage; http://www.bom.gov.au/qld/flood/fld_history/floodsum_1970.shtml,11,0,0,3,1,0,2,,25000,100,10,,30000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=334,EM-Track,EM-DAT,9,17,22,61,,,,,,,,ICA,both cyclones have no reported damage,
,Flood,,,7/09/1973,14/09/1973,September,1973,Northern Victoria incl. Seymore,Victoria,Victoria,,wiki; PDF newspaper,,0,0,0,1,5,2,,,300,,1,,8500000,,,,130,1,,,,,,,,,,,,,,,$75k,,,,,,,,,wiki,,5,,,,,,,,,,,,,
624,Heatwave,Environmental - Heatwave Dec 1972,"In the summer of 1972 - 1973 it is estimated that 99 people died as a result of a heatwave.  Mortality during heatwaves can be difficult to measure, as deaths tend to occur from exacerbations of chronic medical conditions as well as direct heat related illness, particularly in the frail and elderly. Excess mortality provides a measure of impact, but does not provide information specifically on underlying cause of death (Victorian Government, January 2009 Heatwave in Victoria: an Assessment of Health Impacts).  It is imperative that heatwaves are included in the disaster information, however, for reasons outlined above accurate statistics as to the actual numbers of deaths and injuries in most instances cannot be provided.",1/12/1972,28/02/1973,February,1973,Southern Australia,South Australia; Victoria,South Australia,Victoria,EM-Track; wiki; PDF - newspaper; Reeves (2010) pg 147; Narn and Fawcett (2013),,0,2,1,1,0,2,100000,,,1000,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=624,EM-Track,wiki,9,15,32,54,,,,,,,,PDF - newspaper,Reeves (2010) pg 147,
,Severe Storm,Severe storm and tornado,,4/11/1973,5/11/1973,November,1973,Brisbane,Queensland,Queensland,,wiki; PDF - newspaper; Holcombe and Moynihan (1978) *report requested*; http://www.brisbanestorms.com/reports_041173.html; Callaghan report (HardenUp),,2,1,0,1,2,2,,5000,300,50,2?,,3286501,,,,1890,500,,,,,,,,,,,,,,,,,,,,,,,,wiki,PDF - newspaper,5,22,71,122,,,,,,,,Holcombe and Moynihan (1978) *report requested*,http://www.brisbanestorms.com/reports_041173.html,
212,Cyclone,Cyclone Wanda and flood,"On 24 January 1974, torrential rain and record breaking floods were a direct result of Tropical Cyclone Wanda, which crossed north of Brisbane.  Record flooding occurred in the Bulloo, Paroo, middle and lower reaches of the Flinders, Norman, Gilbert, Cooper, Diamantina, Georgina and Eyre rivers and creeks as well as Nerang, Brisbane City metropolitan, upper Brisbane, Bremer, Warrill and Logan rivers. By 29 January the Brisbane area had recorded 900 mm of rain. Brisbane also received 314 mm of rain in a 24 hour period surpassing the previous record established in 1931.  Six thousand houses were inundated by flood waters, where 56 were either completely destroyed or deemed uninhabitable. There was widespread damage to infrastructure including roads, railways and bridges as well as power lines, resulted in serious power failures throughout the affected regions. Business and industries sustained millions of dollars in losses due to the heavy deluge.  The Insurance Council of Australia estimated the 1974 damage at $68 million, with the 2011 estimated normalised cost of $2645 million.",24/01/1974,29/01/1974,January,1974,Sunshine and Gold Coast,Queensland;New South Wales;South Australia;Victoria;Tasmania,Queensland,New South Wales; Tasmania? (meant to be vic?),EM-DAT; EM-Track; ICA; van den Honert (2011); http://www.bom.gov.au/qld/flood/fld_history/brisbane_history.shtml; http://hardenup.org/be-aware/weather-events/events/1970-1979/cyclone-wanda-1974-01-24.aspx; http://www.australiangeographic.com.au/journal/the-worst-floods-in-australian-history.htm; RECORDED TWICE IN EM-TRACK (114 & 212) - 114 is a flood *2 events?*,1,0,1,2,3,0,,9000,35000,9000,300,16,120000000,200000000,,,,7000,56,,,,,,,1000,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=212,EM-DAT,EM-Track,7,17,22,45,113,205,296,,,,,ICA,van den Honert (2011),http://www.bom.gov.au/qld/flood/fld_history/brisbane_history.shtml
386,Cyclone,Cyclone Tracy,"Tropical Cyclone Tracy struck Darwin in the early hours of 25 December 1974, and was rated a Category 4 Tropical Cyclone. Before the failure of instruments, the wind gauges registered speeds of 217 km per hour.  The cyclone caused massive building and infrastructure damage to all power, water, sanitation and communications as well as huge commercial and industrial losses. Over 80 per cent of all buildings were destroyed or seriously damaged.  The cyclone resulted in the death of 71 people, which included 22 who were lost at sea.  Tropical Cyclone Tracy caused the largest ever evacuation and reconstruction operations in peacetime Australia. A total of 35,362 people (of the approx 47,000 population) were evacuated; 25,628 by air (15,950 in civilian aircraft and 9,678 in military aircraft) and the remaining 9,734 by road, to southern cities for many months.  By 1978, it was estimated that Darwin had regained the population level it had in December 1974.  The Insurance Council of Australia estimated the 1974 damage at $200 million, with the 2012 estimated normalised cost of $4090 million.",25/12/1974,25/12/1974,December,1974,Darwin,Northern Territory,Northern Territory,,EM-Track; EM-DAT; ICA; Folder of PDF's - find,11,0,0,3,0,0,2,35362,,41000,650,71,200000000,,,,,200,5000,,,,,,,,,20,25,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=386,EM-Track,EM-DAT,9,17,22,,,,,,,,,ICA,,
